loss,created_at,avg_val_loss,learning_rate,epoch
"tensor(4.5991, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:08.000973,,,
,2021-02-28 17:31:08.857636,4.671739101409912,0.0005,10.0
"tensor(4.5849, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:09.237161,,,
"tensor(4.9698, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:09.555244,,,
"tensor(4.4369, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:09.964499,,,
"tensor(4.5717, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:10.248391,,,
"tensor(4.3190, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:10.549633,,,
"tensor(4.4778, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:10.933604,,,
"tensor(5.0644, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:11.244953,,,
"tensor(4.6721, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:11.544372,,,
"tensor(5.1129, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:11.830326,,,
"tensor(4.4397, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:12.243949,,,
"tensor(4.8713, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:12.552570,,,
"tensor(4.5988, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:12.854914,,,
"tensor(4.6121, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:13.218446,,,
,2021-02-28 17:31:14.193397,4.6716508865356445,0.0005,11.0
"tensor(4.5085, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:14.784432,,,
"tensor(4.4939, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:15.230670,,,
"tensor(4.5158, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:15.610175,,,
"tensor(4.7302, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:15.884406,,,
"tensor(4.7303, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:16.155647,,,
"tensor(4.3263, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:16.577374,,,
"tensor(4.5386, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:16.996867,,,
"tensor(4.7257, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:17.446645,,,
"tensor(4.9314, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:17.895858,,,
"tensor(5.0284, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:18.259953,,,
"tensor(4.9241, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:18.567322,,,
"tensor(4.8578, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:18.863566,,,
"tensor(4.4217, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:19.195808,,,
,2021-02-28 17:31:20.019911,4.671731472015381,0.0005,12.0
"tensor(5.0327, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:20.439203,,,
"tensor(4.3804, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:20.693157,,,
"tensor(4.5169, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:20.988116,,,
"tensor(4.4916, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:21.257412,,,
"tensor(4.6243, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:21.533861,,,
"tensor(4.5398, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:21.882014,,,
"tensor(4.5776, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:22.181507,,,
"tensor(4.5411, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:22.464855,,,
"tensor(5.1024, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:22.799292,,,
"tensor(4.4873, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:23.112643,,,
"tensor(5.1170, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:23.436724,,,
"tensor(4.4046, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:23.725581,,,
"tensor(4.9164, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:24.054474,,,
,2021-02-28 17:31:24.738584,4.67169189453125,0.0005,13.0
"tensor(5.2299, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:25.309304,,,
"tensor(4.5593, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:25.720139,,,
"tensor(5.0948, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:26.113863,,,
"tensor(4.7170, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:26.516137,,,
"tensor(4.5801, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:26.895271,,,
"tensor(4.6843, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:27.159082,,,
"tensor(4.4083, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:27.492470,,,
"tensor(4.9413, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:27.899559,,,
"tensor(4.5478, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:28.231837,,,
"tensor(4.7049, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:28.482888,,,
"tensor(4.4348, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:28.747709,,,
"tensor(4.4310, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:29.027349,,,
"tensor(4.3967, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:29.528353,,,
,2021-02-28 17:31:30.490140,4.671554088592529,0.0005,14.0
"tensor(4.5714, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:31.056908,,,
"tensor(4.6748, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:31.401020,,,
"tensor(4.5944, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:31.677845,,,
"tensor(4.9156, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:31.931077,,,
"tensor(4.5610, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:32.201577,,,
"tensor(4.7957, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:32.625689,,,
"tensor(4.5098, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:33.010623,,,
"tensor(4.5610, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:33.446393,,,
"tensor(4.4428, device='cuda:0', grad_fn=<AddBackward0>)",2021-02-28 17:31:33.884808,,,
